Run	Dataset1	Dataset2	Phonological	Syntactic	Geographic	Genetic	Inventory	Featural	Entropy_pretrain_train	Entropy_pretrain_test	Entropy_pretrain_dev	Pretrain Training set size	Finetune Training set size	Total Size	KL_train	KL_test	KL_dev	UniqueLabels_finetune_test	UniqueLabels_pretrain_test	Formalism	Genre overlap	Formality overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats	Model Percentage Gain	Model gains	Model absolute
0	eng.rst.rstdt	spa.rst.rststb	0.34	0.4	0.1	0.9	0.55	0.5	9.43	7.41	7.13	16002.0	2240.0	18242.0	4.750669	4.341747	5.021429	25.0	17.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	37.5	11.971830985915492	43.89671361502347
0	eng.rst.rstdt	spa.rst.sctb	0.34	0.4	0.1	0.9	0.55	0.5	9.43	7.41	7.13	16002.0	439.0	16441.0	4.39968	5.909272	4.762799	19.0	17.0	1.0	1.0	1.0	9.34	0.0	0.0	0.0	0.0	0.0	10.958904109589037	5.031446540880502	50.943396226415096
0	eng.rst.rstdt	tur.pdtb.tdb	0.34	0.7	0.1	1.0	0.52	0.6	9.43	7.41	7.13	16002.0	2451.0	18453.0	13.567226	13.476738	13.628622	22.0	17.0	0.0	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0	21.088435374149668	7.3459715639810454	42.18009478672986
0	eng.rst.rstdt	zho.rst.sctb	0.57	0.57	1.0	1.0	0.6	0.6	9.43	7.41	7.13	16002.0	439.0	16441.0	4.201299	5.924395	4.415625	20.0	17.0	1.0	1.0	1.0	9.34	0.0	0.0	0.0	0.0	0.0	21.12676056338028	9.433962264150942	54.088050314465406
0	eng.sdrt.stac	deu.rst.pcc	0.33	0.42	0.1	0.43	0.44	0.4	8.92	7.06	6.76	9580.0	2164.0	11744.0	13.23931	13.253985	13.284444	24.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.75609756097561	1.5384615384615383	17.307692307692307
0	eng.sdrt.stac	eng.pdtb.pdtb	0.0	0.0	0.0	0.0	0.0	0.0	8.92	7.06	6.76	9580.0	43920.0	53500.0	13.239929	13.254376	13.28506	23.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.061170212765957	1.3735046521931764	68.01063358440408
0	eng.sdrt.stac	eng.rst.gum	0.0	0.0	0.0	0.0	0.0	0.0	8.92	7.06	6.76	9580.0	13897.0	23477.0	13.2396	13.254115	13.28456	23.0	16.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	33.27	4.211469534050184	2.2477283596365396	55.61932089909134
0	eng.sdrt.stac	eng.rst.rstdt	0.0	0.0	0.0	0.0	0.0	0.0	8.92	7.06	6.76	9580.0	16002.0	25582.0	13.240274	13.254753	13.285262	17.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7964071856287447	1.1136890951276115	63.10904872389791
0	eng.sdrt.stac	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	8.92	7.06	6.76	9580.0	9580.0	19160.0	0.0	0.0	0.0	16.0	16.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	43.973509933774835
0	eng.sdrt.stac	fas.rst.prstc	0.57	0.9	0.5	1.0	0.57	0.7	8.92	7.06	6.76	9580.0	4100.0	13680.0	13.240276	13.254806	13.285416	16.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.999999999999993	5.067567567567565	38.85135135135135
